ID,Tipo,SKU,Nombre,Publicado,"Visibilidad en el catálogo","Día en que empieza el precio rebajado","Día en que termina el precio rebajado",Inventario,"Precio rebajado","Precio normal"
50378,simple,HC19AJ218,"BROCHAS SEMIPROFESIONAL 18 PCS",1,visible,,,215,,48000
50508,simple,HC19AJ219,"PALETA DE CORRECTORES DEL COLOR COLOUR CORRECTING PALETTE",'-1,visible,,,,,28000
50522,simple,HC19AJ220,"CEPILLO PARA CEJAS O PESTAÑAS 10PCS",1,visible,,,904,,5000
50745,variable,HC19AJ221,"TERMO SUMMER",1,visible,,,,,
50746,variation,HC19AJ222,"TERMO SUMMER - AZUL",1,visible,,,10,,20000
50747,variation,HC19AJ223,"TERMO SUMMER - MORADO",1,visible,,,10,,20000
50748,variation,HC19AJ224,"TERMO SUMMER - NEGRO",1,visible,,,10,,20000
50749,variation,HC19AJ225,"TERMO SUMMER - VERDE",1,visible,,,10,,20000
50750,variation,HC19AJ226,"TERMO SUMMER - ROJO",1,visible,,,10,,20000
50764,simple,,"ESPEJO EMOJI",1,visible,,,41,,5000
50826,simple,HC19AJ228,"BROCHAS ORO ROSA",1,visible,,,87,,40000
50910,variation,HC19AJ229,"MASCARILLA DE GLITTER DEAR SHE - DORADO",1,visible,,,69,,3000
50911,variation,HC19AJ230,"MASCARILLA DE GLITTER DEAR SHE - PLATEADO",1,visible,,,91,,3000
50912,variation,HC19AJ231,"MASCARILLA DE GLITTER DEAR SHE - ROSA",1,visible,,,77,,3000
51182,simple,HC19AJ232,"COMBO CONCHA",'-1,visible,,,,,60000
51189,simple,HC19AJ233,"COMBO DEPILADOR CRYSTAL",'-1,visible,,,,,25000
51193,simple,HC19AJ234,"COMBO SUMMER",'-1,visible,,,,,50000
52250,simple,HC19AJ235,"Smoke ?n Mirrors",'-1,visible,,,74,,50000
52292,variable,HC19AJ236,"ARO LED SELFIE",1,visible,,,,,
52299,variation,HC19AJ237,"ARO LED SELFIE - AZUL",0,visible,,,,,15000
52300,variation,HC19AJ238,"ARO LED SELFIE - NEGRO",1,visible,,,289,,15000
52303,variation,HC19AJ239,"ARO LED SELFIE - ROSA",1,visible,,,13,,15000
52304,variation,HC19AJ240,"ARO LED SELFIE - BLANCO",1,visible,,,261,,15000
62219,simple,HC19AJ241,"COMBO FACIAL GLITTER",'-1,visible,,,,,60000
62221,simple,HC19AJ242,"COMBO ARCOIRIS",'-1,visible,,,15,,60000
62223,simple,HC19AJ243,"COMBO ESPECIAL",'-1,visible,,,,,80000
62225,simple,HC19AJ244,"COMBO PLATA",'-1,visible,,,,,50000
62227,simple,HC19AJ245,"COMBO ROSE",'-1,visible,,,,,50000
62232,simple,HC19AJ246,"COMBO SKIN",'-1,visible,,,,,20000
63327,simple,HC19AJ247,"DESMAQUILLADOR DUAL",1,visible,,,8,,20000
63342,simple,HC19AJ248,"SUERO FACIAL",1,visible,,,44,,20000
63346,simple,HC19AJ249,"BRUSH CRUSH",'-1,visible,,,,,20000
63659,variable,HC19AJ250,"COSMETIQUERA TORNASOL",'-1,visible,,,,,
63661,variation,HC19AJ251,"COSMETIQUERA TORNASOL - TORNASOL MORADO",1,visible,,,27,,15000
63669,variation,HC19AJ252,"COSMETIQUERA TORNASOL - TORNASOL HIELO",1,visible,,,1,,15000
63688,simple,HC19AJ253,"ROSA TORNASOL",'-1,visible,,,,,45000
63721,simple,HC19AJ254,"PESTAÑAS 3D",1,visible,,,73,,12000
63726,simple,HC19AJ255,"COMBO OLLA 500 GR",1,visible,,,47,,60000
63817,simple,HC19AJ256,"AGUA DE ROSAS",1,visible,,,,,11000
63823,simple,HC19AJ257,"AGUA DE HAMAMELIS",1,visible,,,,,11000
63831,simple,HC19AJ258,"JABON FACIAL PIEL GRASA",1,visible,,,,,25000
63833,simple,HC19AJ259,"JABON FACIAL PIEL MIXTA O NORMAL",1,visible,,,,,25000
63838,simple,HC19AJ260,"EXTRACTOR FACIAL CON SPRAY DE MICRONIZACIÓN",1,visible,,,,,70000
63866,simple,HC19AJ261,"PERLAS DEPILATORIAS POR 500GR",1,visible,,,20,,30000
63913,simple,HC19AJ262,"COMBO BEAUTY",'-1,visible,,,,,60000
63917,simple,HC19AJ263,"COMBO CLEANING ROSAS",'-1,visible,,,,,90000
63919,simple,HC19AJ264,"COMBO CONTROL OIL",'-1,visible,,,,,90000
63923,simple,HC19AJ265,"COMBO FACIAL ROSE",'-1,visible,,,,,30000
63928,simple,HC19AJ266,"COMBO LASH",'-1,visible,,,,,20000
63936,simple,HC19AJ267,"COMBO TORNASOL",'-1,visible,,,,,30000
64351,variable,HC19AJ268,"ESPEJO LED",1,visible,,,,,
64354,variation,HC19AJ269,"ESPEJO LED - BLANCO",1,visible,,,88,,45000
64355,variation,HC19AJ270,"ESPEJO LED - NEGRO",1,visible,,,3,,45000
64356,variation,HC19AJ271,"ESPEJO LED - ROSA",1,visible,,,16,,45000
64684,simple,HC19AJ272,"PLANCHA REMINGTON AGUACATE CON MACADAMIA",1,visible,,,2,,160000
