63917,HC19AJ263,"COMBO CLEANING ROSAS",'-1,visible,,,,,90000
63919,HC19AJ264,"COMBO CONTROL OIL",'-1,visible,,,,,90000
63923,HC19AJ265,"COMBO FACIAL ROSE",'-1,visible,,,,,30000
63928,HC19AJ266,"COMBO LASH",'-1,visible,,,,,20000
63936,HC19AJ267,"COMBO TORNASOL",'-1,visible,,,,,30000
64351,HC19AJ268,"ESPEJO LED",1,visible,,,,,
64354,HC19AJ269,"ESPEJO LED - BLANCO",1,visible,,,88,,45000
64355,HC19AJ270,"ESPEJO LED - NEGRO",1,visible,,,3,,45000
64356,HC19AJ271,"ESPEJO LED - ROSA",1,visible,,,16,,45000
64684,HC19AJ272,"PLANCHA REMINGTON AGUACATE CON MACADAMIA",1,visible,,,2,,160000
64700,HC19AJ273,"PLANCHA REMINGTON ACEITE DE ARGAN",1,visible,,,,,140000
64705,HC19AJ274,"PLANCHA REMINGTON SALES DE MAR-ALISA SOBRE MOJADO",1,visible,,,2,,145000
64715,HC19AJ275,"PLANCHA REMINGTON PRO-ION ANTIFRIZZ",'-1,visible,,,,,135000
64737,HC19AJ276,"PLANCHA REMINGTON KERATINA Y ARGAN",1,visible,,,4,,170000
64741,HC19AJ277,"PLANCHA REMINGTON SAPPHIREPRO-TITANIUM",1,visible,,,,,190000
65375,HC19AJ278,"KIT VIAJERO ROSA",1,visible,,,57,,12000
65439,HC19AJ279,"GEL EXFOLIANTE",1,visible,,,49,,25000
65608,HC19AJ280,"COMBO PILI ROSA",'-1,visible,,,,,70000
65610,HC19AJ281,"COMBO PILI HAMAMELIS",'-1,visible,,,,,70000
65614,HC19AJ282,"COMBO SAUNA",'-1,visible,,,,,110000
65616,HC19AJ283,"COMBO CHIC",'-1,visible,,,,,50000
65619,HC19AJ284,"COMBO LUNA BELLA",'-1,visible,,,,,80000
65621,HC19AJ285,"COMBO BRONCE",'-1,visible,,,,,50000
65725,HC19AJ286,"DEPILADORA FEMENINA REMINGTON",1,visible,,,,,
65989,HC19AJ287,HYDROGEL,1,visible,,,23,,25000
65995,HC19AJ288,"POMADA PARA CEJAS Y PESTAÑAS CILKA",1,visible,,,,,25000
66030,HC19AJ289,"DEPILADORA FEMENINA REMINGTON - ANIMAL PRINT",1,visible,,,7,,40000
66031,HC19AJ290,"DEPILADORA FEMENINA REMINGTON - FLORES",1,visible,,,3,,40000
67924,HC19AJ291,"COMBO MIRROR",'-1,visible,,,,,50000
68628,HC19AJ292,"FLAWLESS LEGS - DEPILADOR DE PIERNA",1,visible,,,92,,50000
69718,HC19AJ293,"FLAWLESS BROWS - DEPILADOR DE CEJAS PILA",1,visible,,,48,,25000
71416,HC19AJ294,"COMBO FLAW",'-1,visible,,,,,100000
71426,HC19AJ295,"COMBO DEPILADOR",'-1,visible,,,,,40000
71584,HC19AJ296,"BROCHAS MARMOL",1,visible,,,195,,40000
72391,HC19AJ297,"LAMPARA PARA UÑAS 36W",1,visible,,,8,,40000
75509,HC19AJ298,"COMBO PROLUNA",'-1,visible,,,,,80000
75517,HC19AJ299,"COMBO SIRENA GLITTER",'-1,visible,,,,,50000
75519,HC19AJ300,"COMBO 5 EN 1 PILI",'-1,visible,,,,,40000
75521,HC19AJ301,"COMBO MARMOL",'-1,visible,,,,,50000
75523,HC19AJ302,"COMBO HIELO BELLA",'-1,visible,,,,,50000
75526,HC19AJ303,"COMBO ALOE SAUNA",'-1,visible,,,3,,110000
96096,HC19AJ354,"FLORAL BLOOM RUBOR",1,visible,,,9,,40000
96098,HC19AJ355,"FLORAL BLOOM CONTORNO & ILUMUNADOR",1,visible,,,8,,40000
96099,HC19AJ356,"SAUNA FACIAL PROFESIONAL",1,visible,,,,,
96100,HC19AJ357,"ESPEJO DONA",1,visible,,,8,,5000
96101,,"shadow primer (primer de sombras)",1,visible,,,48,,15000
96102,HC19AJ359,"Bikini Bottom - 18 Eyeshadow Palette (copia)",'-1,visible,,,,,50000
96105,HC19AJ361,"LATTE ESPRESSO YOURSELF (copia)",'-1,visible,,,,,45000
96106,HC19AJ362,"ESPRESSO YOURSELF PALETTE (copia)",'-1,visible,,,,,45000
96107,HC19AJ363,"PERLAS DEPILATORIAS 400GR",1,visible,,,96,,25000
96108,HC19AJ364,"BROCHAS UNICORNIO",1,visible,,,8,,38000
96109,,"SOMBRA MAKE UP 35 COLOR PALETTE",1,visible,,,17,,55000
96110,HC19AJ366,"CONTOUR PALETTE 2",1,visible,,,19,,25000
96111,,"SOMBRA CALI CHIC PALETTE",1,visible,,,19,,40000
96112,HC19AJ368,"SOMBRA SPLASH OF GLITTERS 2",'-1,visible,,,45,,80000
96114,,"SOMBRA CALI SET PALETTE",1,visible,,,21,,40000
96115,HC19AJ370,"COMBO OLLA 400gr",1,visible,,,75,,50000
96116,HC19AJ371,"COMBO OLLA 200gr",1,visible,,,308,,40000
96117,HC19AJ372,"FIJADOR ILLUMINATING SETTING SPRAY",1,visible,,,32,,25000
96119,HC19AJ374,"CONTORNOS 4-COLOR HIGHLIGH (copia)",'-1,visible,,,,,20000
96120,HC19AJ375,"PRO ROSE GOLD (copia)",'-1,visible,,,,,65000
96121,HC19AJ376,"ILUMINADOR BAKED POPS",1,visible,,,61,,35000
96122,HC19AJ377,"BROCHAS DIAMANTE TORNASOL",1,visible,,,90,,45000
96123,HC19AJ378,"BROCHAS DIAMANTE ARCOIRIS",1,visible,,,,,45000
96248,HC19AJ379,"MASCARILLA DIAMOND BLACK PEEL-OFF DEAR SHE",1,visible,,,81,,3500
96263,HC19AJ380,"MASCARILLA DIAMOND GALAXY GOLD PEEL-OFF",1,visible,,,80,,3500
97051,HC19AJ381,"LABIAL SOFT MATTE - BUDAPEST - DEEP MAUVE WITH RED UNDERTONE",0,visible,,,,,
97057,HC19AJ382,"LABIAL SOFT MATTE - STOCKHOLM - MID-TONE BEIGE PINK",0,visible,,,,,
97058,HC19AJ383,"LABIAL SOFT MATTE - LONDON - MID-TONE BEIGE",0,visible,,,,,
98159,HC19AJ384,"MASAJEADOR FACIAL 5 EN 1",'-1,visible,,,300,,15000
98202,HC19AJ385,"BEAUTY BLENDER - FUCSIA",1,visible,,,689,,15000
98203,HC19AJ386,"BEAUTY BLENDER - BEIGE",1,visible,,,770,,15000
98204,HC19AJ387,"BEAUTY BLENDER - NEGRO",1,visible,,,767,,15000
98432,HC19AJ388,"BROCHAS SIRENA",1,visible,,,6,,45000
100719,HC19AJ389,"PULPO FACIAL (no)",'-1,visible,,,140,,7000
100729,HC19AJ390,"MASAJEADOR BEAUTY BAR",1,visible,,,38,,30000
100740,HC19AJ391,"BROCHAS SEMIPROFESIONAL 24 PCS",1,visible,,,219,,60000
100744,HC19AJ392,"LAMPARA PARA UÑAS 48W",1,visible,,,118,,80000
100765,HC19AJ393,"SAUNA FACIAL PROFESIONAL - ROSA",1,visible,,,53,,70000
100766,HC19AJ394,"SAUNA FACIAL PROFESIONAL - VERDE MENTA",1,visible,,,88,,70000
100790,HC19AJ395,"SAUNA FACIAL",1,visible,,,,,
100793,HC19AJ396,"SAUNA FACIAL - AZUL",1,visible,,,87,,50000
100794,HC19AJ397,"SAUNA FACIAL - ROSA",1,visible,,,87,,50000
100795,HC19AJ398,"SAUNA FACIAL - VERDE",1,visible,,,95,,50000
101266,HC19AJ399,"CEPILLO SEPARADOR DE PESTAÑAS",1,visible,,,136,,7000
101275,HC19AJ400,"SIGNATURE ROSE GOLD BLACK BH COSMETICS",'-1,visible,,,,,
101277,HC19AJ401,"BROCHAS BH SIGNATURE ROSE GOLD BLACK BH COSMETICS",1,visible,,,116,,65000
101373,HC19AJ402,"plato verde de base",'-1,visible,,,,,
101374,HC19AJ403,SET,'-1,visible,,,,,
101433,HC19AJ404,"HUMIFICADOR FACIAL- CARGADOR PORTATIL",1,visible,,,,,
101436,HC19AJ405,"HUMIFICADOR FACIAL- CARGADOR PORTATIL - BLANCO",1,visible,,,113,,30000
122740,,"SOMBRA SWEET PARADISE",1,visible,,,14,,80000
122746,,"SOMBRA IRRESISTIBLE",1,visible,,,45,,40000
122756,,"Bubblelicious (EXFOLIANTE PARA LABIOS)",1,visible,,,17,,25000
122761,,"WISHES DO COME TRU GLOW (PRIMER OIL)",1,visible,,,8,,35000
124592,,"SOMBRA C’ESTE LA VIE",1,visible,,,17,,70000
124665,,"SOMBRA GILTTER UNICORN DREAM",1,visible,,,19,,45000
124670,,"COCONUT LIP MASK (balsamo para labios)",1,visible,,,13,,12000
124685,,"CRYSTAL LIP GLAZE (gloss)",1,visible,,,19,,7000
124687,,"ILUMINADORES ISLAND PARADISE",1,visible,,,15,,60000
124707,,"SOMBRA CRYPTIC",1,visible,,,8,,48000
124783,,"PEGANTE PARA PESTAÑAS DUO",1,visible,,,2,,25000
124951,,"PULPO FACIAL",1,visible,,,,,7000
125798,,"PLANCHA REMINGTON TRIPLE INFUSION",1,visible,,,2,,170000
125817,,"PLANCHA REMIGTON COLOR PROTECTION",1,visible,,,1,,140000
