39434,,"BEAUTY BLENDER SNAPCHIC",'-1,visible,,,,,,,,,
39458,,"COMBO LUNA",'-1,visible,,,,,,,,,
39460,,"COMBO REAL NUDE",'-1,visible,,,,,,,,,
39462,,"COMBO DEPILADOR",'-1,visible,,,,,,,,,
39464,,"COMBO BEAUTY",'-1,visible,,,,,,,,,
39912,,"SOMBRAS RETURN OF THE JET EYESHADOWS -BOOK 4",'-1,visible,,,,,,,,,
39925,,"SOMBRA THE BADASS RUDEGIRL - BOOK 6",'-1,visible,,,,,,,,,
39927,,"SOMBRA The Rude AWAKENING - Book 5",'-1,visible,,,,,,,,,
41443,,"BROCHAS CONCHA",1,visible,,,,,,,,,
43169,,"PAPEL DE ARROZ",'-1,visible,,,,,,,,,
46032,,"LETRERO LED A5 MEDIANO",'-1,visible,,,,,,,,,
46037,,"LETRERO LED A4 GRANDE",'-1,visible,,,,,,,,,
47880,,"PAPEL DE ARROZ BESTY",1,visible,,,,,,,,,
50378,,"BROCHAS SEMIPROFESIONAL 18 PCS - viejo",'-1,visible,,,,,,,,,
50508,,"PALETA DE CORRECTORES DEL COLOR COLOUR CORRECTING PALETTE",'-1,visible,,,,,,,,,
50522,,"CEPILLO PARA CEJAS O PESTAÑAS 10PCS",1,visible,,,,,,,,,
50826,,"BROCHAS ORO ROSA",'-1,visible,,,,,,,,,
51182,,"COMBO CONCHA",'-1,visible,,,,,,,,,
51189,,"COMBO DEPILADOR CRYSTAL",'-1,visible,,,,,,,,,
51193,,"COMBO SUMMER",'-1,visible,,,,,,,,,
52250,,"Smoke ?n Mirrors",'-1,visible,,,,,,,,,
52292,,"ARO LED SELFIE",1,visible,COLOR,"AZUL, BLANCO, NEGRO, ROSA",1,0,BLANCO,,,,
52299,,"ARO LED SELFIE - AZUL",0,visible,COLOR,AZUL,,0,,,,,
52300,,"ARO LED SELFIE - NEGRO",1,visible,COLOR,NEGRO,,0,,,,,
52303,,"ARO LED SELFIE - ROSA",1,visible,COLOR,ROSA,,0,,,,,
52304,,"ARO LED SELFIE - BLANCO",1,visible,COLOR,BLANCO,,0,,,,,
62219,,"COMBO FACIAL GLITTER",'-1,visible,,,,,,,,,
62221,,"COMBO ARCOIRIS",'-1,visible,,,,,,,,,
62223,,"COMBO ESPECIAL",'-1,visible,,,,,,,,,
62225,,"COMBO PLATA",'-1,visible,,,,,,,,,
62227,,"COMBO ROSE",'-1,visible,,,,,,,,,
62232,,"COMBO SKIN",'-1,visible,,,,,,,,,
63327,,"DESMAQUILLADOR DUAL",1,visible,,,,,,,,,
63342,,"SUERO FACIAL",1,visible,,,,,,,,,
63346,,"BRUSH CRUSH",'-1,visible,,,,,,,,,
63659,,"COSMETIQUERA TORNASOL",'-1,visible,COLOR,"TORNASOL MORADO, TORNASOL HIELO",1,0,"TORNASOL HIELO",,,,
