SKU;NOMBRE;VISIBLE;DIA EN QUE EMPIENZA LA REBAJA;DIA EN QUE TERMINA LA REBAJA;PRECIO REBAJADO;PRECIO NORMAL
HC19AJ66;ESSENTIAL BRUSH COLLECTION - CBR64;1;31/12/69 0:00;;;16000
HC19AJ67;ESSENTIAL BRUSH COLLECTION - CBR65;1;31/12/69 0:00;;;16000
HC19AJ68;ESSENTIAL BRUSH COLLECTION - CBR66;1;31/12/69 0:00;;;16000
HC19AJ200;EXTRACTOR DE PUNTOS NEGROS DIGITAL;1;;;;60000
HC19AJ260;EXTRACTOR FACIAL CON SPRAY DE MICRONIZACIÓN;1;;;;70000
HC19AJ78;FIJADOR CONTROL MATTE;1;;;;20000
HC19AJ293;FLAWLESS BROWS - DEPILADOR DE CEJAS PILA;1;;;;30000
HC19AJ431;FLAWLESS BROWS - DEPILADOR DE CEJAS RECARGABLE;1;;;;40000
HC19AJ292;FLAWLESS LEGS - DEPILADOR DE PIERNA;1;;;;50000
HC19AJ279;GEL EXFOLIANTE;1;;;;25000
HC19AJ414;HAIR CLIPS;1;;;;6000
HC19AJ404;HUMIFICADOR FACIAL- CARGADOR PORTATIL;1;;;;
HC19AJ405;HUMIFICADOR FACIAL- CARGADOR PORTATIL - BLANCO;1;;;;30000
HC19AJ406;HUMIFICADOR FACIAL- CARGADOR PORTATIL - ROSA;1;;;;30000
HC19AJ287;HYDROGEL;1;;;;25000
HC19AJ258;JABON FACIAL PIEL GRASA;1;;;;25000
HC19AJ259;JABON FACIAL PIEL MIXTA O NORMAL;1;;;;25000
HC19AJ278;KIT VIAJERO ROSA;1;;;;15000
HC19AJ79;LABIALES  LIPSTICK CONTOUR MATTE;'-1;;;;25000
HC19AJ407;LAMPARA PARA UÑAS 54W;1;;;;100000
HC19AJ87;LAVABROCHAS EN SECO;'-1;;;;15000
HC19AJ430;LAVABROCHAS EN SECO;1;;;;15000
HC19AJ215;LETRERO LED A4 GRANDE;1;;;;60000
HC19AJ214;LETRERO LED A5 MEDIANO;1;;;;40000
HC19AJ421;MASAJEADOR DEPILADOR 3 EN 1;1;;;;70000
HC19AJ217;MASCARILLA DE GLITTER DEAR SHE;1;;;;
HC19AJ229;MASCARILLA DE GLITTER DEAR SHE - DORADO;1;;;;3000
HC19AJ230;MASCARILLA DE GLITTER DEAR SHE - PLATEADO;1;;;;3000
HC19AJ231;MASCARILLA DE GLITTER DEAR SHE - ROSA;1;;;;3000
HC19AJ219;PALETA DE CORRECTORES DEL COLOR COLOUR CORRECTING PALETTE;'-1;;;;28000
HC19AJ213;PAPEL DE ARROZ;'-1;;;;10000
HC19AJ216;PAPEL DE ARROZ BESTY;1;;;;8000
HC19AJ261;PERLAS DEPILATORIAS POR 500GR;1;;;;30000
HC19AJ201;PESTA?INA LASH SENSATIONAL;'-1;;;;25000
HC19AJ254;PESTAÑAS 3D;1;;;;12000
HC19AJ273;PLANCHA REMINGTON ACEITE DE ARGAN;1;;;;140000
HC19AJ272;PLANCHA REMINGTON AGUACATE CON MACADAMIA;1;;;;160000
HC19AJ276;PLANCHA REMINGTON KERATINA Y ARGAN;1;;;;170000
HC19AJ275;PLANCHA REMINGTON PRO-ION ANTIFRIZZ;'-1;;;;135000
HC19AJ274;PLANCHA REMINGTON SALES DE MAR-ALISA SOBRE MOJADO;1;;;;145000
HC19AJ277;PLANCHA REMINGTON SAPPHIREPRO-TITANIUM;1;;;;190000
HC19AJ402;plato verde de base;'-1;;;;
HC19AJ80;POMADA DE CEJAS brow pomade;'-1;;;;
HC19AJ81;POMADA DE CEJAS brow pomade - GBP361;1;;;;20000
HC19AJ82;POMADA DE CEJAS brow pomade - GBP362;1;;;;20000
HC19AJ83;POMADA DE CEJAS brow pomade - GBP363;1;;;;20000
HC19AJ84;POMADA DE CEJAS brow pomade - GBP364;1;;;;20000
HC19AJ85;POMADA DE CEJAS brow pomade - GBP365;1;;;;20000
HC19AJ86;POMADA DE CEJAS brow pomade - GBP366;1;;;;20000
HC19AJ288;POMADA PARA CEJAS Y PESTAÑAS CILKA;1;;;;25000
HC19AJ69;PORELESS FACE PRIMER BEAUTY CREATIONS;1;;;;25000
HC19AJ253;ROSA TORNASOL;'-1;;;;45000
HC19AJ395;SAUNA FACIAL;1;;;;
HC19AJ396;SAUNA FACIAL - AZUL;1;;;;50000
HC19AJ397;SAUNA FACIAL - ROSA;1;;;;50000
HC19AJ398;SAUNA FACIAL - VERDE;1;;;;50000
HC19AJ403;SET;'-1;;;;
HC19AJ400;SIGNATURE ROSE GOLD BLACK BH COSMETICS;'-1;;;;
HC19AJ235;Smoke ?n Mirrors;'-1;;;;50000
HC19AJ210;SOMBRA C'est Fantastique Rude Cosmetics;1;;;;70000
HC19AJ51;SOMBRA ELSA BEAUTY CREATIONS;'-1;;;;55000
HC19AJ208;SOMBRA The Badass RudeGirl - Book 6;1;;;;70000
HC19AJ413;SOMBRA The Lingerie Collection - Wild Nights (Wearables);1;;;;50000
HC19AJ209;SOMBRA The Rude AWAKENING - Book 5;1;;;;70000
HC19AJ207;SOMBRAS Return of the Jet Eyeshadows - Book 4;1;;;;70000
HC19AJ408;SOPORTE ORGANIZADOR DE BROCHAS;1;;;;15000
HC19AJ248;SUERO FACIAL;1;;;;20000
HC19AJ221;TERMO SUMMER;1;;;;
HC19AJ222;TERMO SUMMER - AZUL;1;;;;20000
HC19AJ223;TERMO SUMMER - MORADO;1;;;;20000
HC19AJ224;TERMO SUMMER - NEGRO;1;;;;20000
HC19AJ226;TERMO SUMMER - ROJO;1;;;;20000
HC19AJ225;TERMO SUMMER - VERDE;1;;;;20000
