ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Inventario;Precio rebajado;Precio normal
37890;simple;HC19AJ193;COMBO CUIDADO FACIAL;'-1;visible;;;;;30000
39462;simple;HC19AJ205;COMBO DEPILADOR;'-1;visible;;;;;30000
71426;simple;HC19AJ295;COMBO DEPILADOR;'-1;visible;;;;;40000
94744;simple;HC19AJ342;COMBO DEPILADOR BLACK;'-1;visible;;;;;30000
51189;simple;HC19AJ233;COMBO DEPILADOR CRYSTAL;'-1;visible;;;;;25000
94746;simple;HC19AJ343;COMBO DEPILADOR TOP;'-1;visible;;;;;110000
35943;simple;HC19AJ102;COMBO DIAMANTE;'-1;visible;;;;;60000
37048;simple;HC19AJ163;COMBO DIAMANTE ARCOIRIS;'-1;visible;;;;;40000
37050;simple;HC19AJ164;COMBO DIAMANTE AZUL;'-1;visible;;;;;40000
36243;simple;HC19AJ128;COMBO DONA;'-1;visible;;;;;50000
90291;simple;HC19AJ329;COMBO DUAL CHIC;'-1;visible;;;;;60000
62223;simple;HC19AJ243;COMBO ESPECIAL;'-1;visible;;;;;80000
90293;simple;HC19AJ330;COMBO EXRACTODEPILADOR;'-1;visible;;;;;70000
91629;simple;HC19AJ337;COMBO EXTRACTOLUNAR;'-1;visible;;;;;120000
36051;simple;HC19AJ112;COMBO FACIAL;'-1;visible;;;;;20000
36311;simple;HC19AJ133;COMBO FACIAL;'-1;visible;;;;;20000
62219;simple;HC19AJ241;COMBO FACIAL GLITTER;'-1;visible;;;;;60000
91626;simple;HC19AJ336;COMBO FACIAL LUNAR;'-1;visible;;;;;80000
37053;simple;HC19AJ165;COMBO FACIAL ROSA;'-1;visible;;;;;30000
63923;simple;HC19AJ265;COMBO FACIAL ROSE;'-1;visible;;;;;30000
80865;simple;HC19AJ320;COMBO FANTASTIQUE;'-1;visible;;;;;100000
71416;simple;HC19AJ294;COMBO FLAW;'-1;visible;;;;;100000
