ID	SKU	Nombre	Publicado	Visibilidad en el catálogo	Inventario
64705		PLANCHA REMINGTON SALES DE MAR-ALISA SOBRE MOJADO	1	visible	
64741		PLANCHA REMINGTON SAPPHIREPRO-TITANIUM	1	visible	
35292		Polvo Compacto HD Kleancolor	1	visible	
36029		POLVO TRASLUCIDO BANANA	1	visible	
35189		POLVOS L'OR?AL	1	visible	
65995		POMADA PARA CEJAS Y PESTAÑAS CILKA	1	visible	
122723		SOMBRA ANNA	1	visible	
122729		SOMBRA DISCOVER ME	1	visible	
121798		SOMBRA FAIRY TALE	1	visible	
103859		SOMBRA The Lingerie Collection - Wild Nights (Wearables)	1	visible	
121880		SOMBRAS SPLASH OF GLITTERS 2	1	visible	
101968		SOPORTE ORGANIZADOR DE BROCHAS	1	visible	
