ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario;Precio rebajado;Precio normal;Meta: _real_price
96116;simple;;COMBO OLLA 200gr;1;visible;;;40000;
96115;simple;;COMBO OLLA 400gr;1;visible;;;50000;
63726;simple;;COMBO OLLA 500 GR;1;visible;;;60000;
36161;simple;;EXTRACTOR PUNTOS NEGROS 1;'-1;visible;;;50000;
36201;simple;;COMBO AGUA;'-1;visible;;;50000;
36203;simple;;COMBO CALI;'-1;visible;;;60000;
36237;simple;;COMBO CUIDADO FACIAL;'-1;visible;;;50000;
36242;simple;;COMBO GLITTER;'-1;visible;;;20000;
36243;simple;;COMBO DONA;'-1;visible;;;50000;
36244;simple;;COMBO BAKED;'-1;visible;;;60000;
35542;variation;;COMBO PLANCHA + RIZADOR - MORADO;1;visible;;;40000;
36305;simple;;COMBO BANANA;'-1;visible;;;50000;
36311;simple;;COMBO FACIAL;'-1;visible;;;20000;
36312;simple;;COMBO BAKED;'-1;visible;;;40000;
36313;simple;;COMBO SIRENA;'-1;visible;;;30000;
36314;simple;;COMBO COSMETICS;'-1;visible;;;70000;
35540;variation;;COMBO PLANCHA + RIZADOR - ROSA;1;visible;;;40000;
36405;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF BEIGE;0;visible;;;35000;
36406;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF;0;visible;;;35000;
35541;variation;;COMBO PLANCHA + RIZADOR - VERDE MENTA;1;visible;;;40000;
36408;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY BEIGE;0;visible;;;35000;
119272;simple;;CONTORNO & ILUMINADOR GLAMOUR BAR;1;visible;;;45000;
96110;simple;;CONTOUR PALETTE 2;1;visible;;;25000;
36411;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - HONEY;0;visible;;;35000;
900;variation;;CORRECTOR DE OJERAS AGE RE - Fair;1;visible;;;25000;
769;variation;;CORRECTOR DE OJERAS AGE RE - Honey;1;visible;;;25000;
901;variation;;CORRECTOR DE OJERAS AGE RE - Light;1;visible;;;25000;
899;variation;;CORRECTOR DE OJERAS AGE RE - Medium;1;visible;;;25000;
36416;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - TAN;0;visible;;;35000;
902;variation;;CORRECTOR DE OJERAS AGE RE - Neutralizer;1;visible;;;25000;
36611;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - BRIGHTENER;0;visible;;;30000;
36612;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - CARAMEL;0;visible;;;30000;
36613;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - FAIR;0;visible;;;30000;
36614;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - GOLDEN;0;visible;;;30000;
36615;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HAZELNUT;0;visible;;;30000;
36616;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HONEY;0;visible;5;;30000;
36617;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - IVORY;0;visible;;;30000;
36618;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - LIGHT;0;visible;;;30000;
36599;variable;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE;1;visible;;;;
36619;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - MEDIUM;1;visible;14;;30000;
36621;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - SAND;0;visible;;;30000;
36622;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - TAN;0;visible;;;30000;
37048;simple;;COMBO DIAMANTE ARCOIRIS;'-1;visible;;;40000;
37050;simple;;COMBO DIAMANTE AZUL;'-1;visible;;;40000;
37053;simple;;COMBO FACIAL ROSA;'-1;visible;;;30000;
37058;simple;;COMBO SUGAR;'-1;visible;;;40000;
36620;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - NEUTRALIZER;1;visible;4;;30000;
36404;variable;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT;1;visible;;;;
36407;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CLASSIC IVORY;1;visible;;;35000;
36409;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY IVORY;1;visible;;;35000;
36410;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY NATURAL;1;visible;;;35000;
37463;variation;;MAGIC BRA - BEIGE, A;0;visible;;;16000;
36412;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - MEDIUM BEIGE;1;visible;;;35000;
36413;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - NUDE;1;visible;;;35000;
36414;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - PURE BEIGE;1;visible;;;35000;
37467;variation;;MAGIC BRA - NEGRO, A;0;visible;;;16000;
36415;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - SANDY BEIGE;1;visible;;;35000;
35475;variable;;CORRECTOR PRO CONCEALER;1;visible;;;;
35476;variation;;CORRECTOR PRO CONCEALER - GC990;1;visible;;;15000;
35477;variation;;CORRECTOR PRO CONCEALER - GC991;1;visible;;;15000;
35478;variation;;CORRECTOR PRO CONCEALER - GC992;1;visible;;;15000;
37488;variation;;Depilador Facial - Recargable - ROSADO;0;visible;;;40000;
37489;variation;;Depilador Facial - Recargable - NEGRO;0;visible;;;40000;
37490;variation;;Depilador Facial - Recargable - ROJO;0;visible;;;40000;
63669;variation;;COSMETIQUERA TORNASOL - TORNASOL HIELO;1;visible;83;;15000;
