id,title,description,link,image_link,availability,price,google_product_category,brand,gtin,mpn,identifier_exists,condition,item_group_id
336148,"BALACA MOÑO","La balaca de moño está hecha de terciopelo suave y fino para aportar más comodidad en tu cabeza y garantizar la transpirabilidad al llevarla. Ideal para usarla en tu rutina de cuidado facial o mientras te maquillas. ESTE PRODUCTO ES ENVIADO SEGÚN DISPONIBILIDAD DE COLOR.",http://local.holy.com/tienda/balaca-mono/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=336148,http://local.holy.com/wp-content/uploads/2020/09/Balaca-moñito-Holy-cosmetics.jpg,"in stock","COP 12000.00",491,,,,no,New,
336141,"BALACA CONEJO","La balaca de conejo está hecha de terciopelo suave y fino para aportar más comodidad en tu cabeza y garantizar la transpirabilidad al llevarla. Ideal para usarla en tu rutina de cuidado facial o mientras te maquillas. ESTE PRODUCTO ES ENVIADO SEGÚN DISPONIBILIDAD DE COLOR.",http://local.holy.com/tienda/balaca-conejo/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=336141,http://local.holy.com/wp-content/uploads/2020/09/Balaca-conejo-2020-Holy-cosmetics.jpg,"in stock","COP 12000.00",491,,,,no,New,
270314,"LAMPARA DE UÑAS 54W HOLY","La lampara para uñas es actualmente un instrumento indispensable para hacer tus uñas favoritas en materiales que requieran de la luz de la lampara paras ser curados. Este lindo diseño lo hemos creado para ti, efecto espejo rosa 36 LED`S Ubicados estrategicamente para un secado rápido. 4 Modos de tiempos opcionales. Sensor infrarojo.  ",http://local.holy.com/tienda/lampara-de-unas-54w-holy/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=270314,http://local.holy.com/wp-content/uploads/2020/05/Lampara-para-uñas-54w-Holy-cosmetics.jpg,"in stock","COP 110000.00",491,,,,no,New,
270313,"LAMPARA DE UÑAS 48W HOLY","La lampara para uñas es actualmente un instrumento indispensable para hacer tus uñas favoritas en materiales que requieran de la luz de la lampara paras ser curados. Este lindo diseño lo hemos creado para ti, efecto espejo rosa 24 LED`S Ubicados estrategicamente para un secado rápido. 4 Modos de tiempos opcionales. Sensor infrarojo.  ",http://local.holy.com/tienda/lampara-de-unas-48w-holy/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=270313,http://local.holy.com/wp-content/uploads/2020/05/Lampara-de-48w-Holy-cosmetics.jpg,"in stock","COP 90000.00",491,,,,no,New,
331067,"EXFOLIANTE PARA LABIOS SUGAR KISS","Exfóliate los labios con Sugar Kiss , es una fórmula de azúcar real fusionada con aceite de frutas y manteca de Karité para dejar a un lado esos labios secos y escamosos, disponibles en 3 sabores diferentes,  vainilla, fresa o café . Dejaran los labios suaves y preparados para aplicar el labial o también para hidratar y limpiar luego de haber usado el labial. **ESTE PRODUCTO ES ENVIADO SEGÚN DISPONIBILIDAD DE COLOR** **Libre de crueldad animal**",http://local.holy.com/tienda/exfoliante-para-labios-sugar-kiss/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=331067,http://local.holy.com/wp-content/uploads/2020/08/Exfoliante-para-labios-sugar-kiss-kleancolor-Holy-cosmetics.jpg,"out of stock","COP 10000.00",491,,,,no,New,
331055,"POLVO SUELTO BANANA","El polvo suelto banana tiene un sub tono amarillo que se difumina por completo en la piel, NO se nota. Su cobertura es muy leve, su textura ultra fina te permitirán sellar el maquillaje y dar un perfecto y profesional acabado. Logra un efecto de terciopelo y es ideal para hacer técnicas de baking. Ideal para todo tipo de piel, no aporta color.  **Libre de crueldad animal**",http://local.holy.com/tienda/polvo-suelto-banana/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=331055,http://local.holy.com/wp-content/uploads/2020/08/polvo-suelto-banana-kleancolor-Holy-cosmetics.jpg,"in stock","COP 13000.00",491,,,,no,New,
331046,"PRIME & CHILL BEAUTY OIL","Este Espectacular Prime & Chill Beauty Oil , está compuesto de aceite de almendra, jojoba y girasol perfecto para preparar e hidratar la piel, dejándola sedosa y cuidada al mismo tiempo , ideal para usar como primer antes del maquillaje para tener un rostro húmedo y con textura suave o mezclándolo con base liquida para obtener resultados fabulosos en tu maquillaje con acabado natural. Otro de sus beneficios es “revivir” productos en crema que tengas secos u olvidados, con una gotica de éste producto revivirán y serán mucho más fácil de utilizar. Una vez lo pruebes te encantará el acabado que deja en la piel, y el maquillaje luciendo mucho mejor e intacto por más tiempo. **Libre de crueldad animal**",http://local.holy.com/tienda/prime-chill-beauty-oil/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=331046,http://local.holy.com/wp-content/uploads/2020/08/prime-chil-beauty-oil-kleancolor-Holy-cosmetics.jpg,"in stock","COP 15000.00",491,,,,no,New,
330315,"BROCHAS SUNSHINE","Set de brochas por 10 pcs. Las brochas sintéticas de dos tonos se pueden usar con líquidos, cremas y polvos para lograr una aplicación de maquillaje precisa, lo que le permite crear looks impecables que van desde lo sutil a lo llamativo. Brochas 100% libre de crueldad animal",http://local.holy.com/tienda/brochas-sunshine/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=330315,http://local.holy.com/wp-content/uploads/2020/08/Brochas-sunshine-con-cosmetiquera-Holy-cosmetics.jpg,"out of stock","COP 38000.00",491,,,,no,New,
329016,"SOMBRA PIÑA COLADA","La sombra piña colada by ruby rose esta diseñada para recrear tus looks favoritos. tonos tierra. 3 Tonos matte. 4 Tonos satinados. *Libre de crueldad animal*",http://local.holy.com/tienda/sombra-pina-colada/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=329016,http://local.holy.com/wp-content/uploads/2020/08/Sombra-piña-colada-by-ruby-rose-Holy-cosmetics.jpg,"in stock","COP 24000.00",491,,,,no,New,
328996,"PLUMÓN DELINEADOR LÍQUIDO NEGRO","El delineador liquido esta diseñado para realizar trazos de cualquier tamaño de forma fácil y rápida gracias a su punta fina. *Libre de crueldad animal*",http://local.holy.com/tienda/plumon-delineador-liquido-negro/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=328996,http://local.holy.com/wp-content/uploads/2020/08/Plumon-delineador-liquido-negro-ruby-rose-Holy-cosmetics.jpg,"in stock","COP 11000.00",491,,,,no,New,
329002,"SOMBRA PINK LEMONADE","La sombra pink lemon es una combinación perfecta para recrear tus mejores looks. 2 Tonos matte. 5 Tonos satinados. *Libre de crueldad animal*",http://local.holy.com/tienda/sombra-pink-lemonade/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=329002,http://local.holy.com/wp-content/uploads/2020/08/Sombra-pink-lemon-by-ruby-rose-Holy-cosmetics.jpg,"in stock","COP 24000.00",491,,,,no,New,
328981,"PALETA CHEEK PLAY","La paleta cheek play es todo lo que necesitamos para lograr un look lindo. 1 Contorno. 3 Rubores. 1 Rubor satinado. 1Iluminador. *Libre de crueldad animal*",http://local.holy.com/tienda/paleta-cheek-play/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=328981,http://local.holy.com/wp-content/uploads/2020/08/Paleta-cheek-play-Holy-cosmetics.jpg,"in stock","COP 28000.00",491,,,,no,New,
328967,"PALETA CHEEK GLOW STUDIO","La paleta cheek glow studio esta diseñada especialmente para los amantes al maquillaje. 2 Iluminadores. 1 Rubor. 1 Contorno. **Libre de crueldad animal**",http://local.holy.com/tienda/paleta-cheek-glow-studio/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=328967,http://local.holy.com/wp-content/uploads/2020/08/Cheek-glow-studio-by-ruby-rose-Holy-cosmetics.jpg,"in stock","COP 22000.00",491,,,,no,New,
318044,"CREMA DESPIGMENTANTE","Los componentes de la Crema Despigmentante Pili, actúan sobre la piel dismuyendo y controlando la aparición de manchas oscuras causadas por hiperpigmentación, brindando una mejor apariencia y textura. Uso en : Codos. Rodilla. Axilas. entrepierna. Debe acompañarse con el uso de bloqueador solar, uso nocturno. *Libre de crueldad*",http://local.holy.com/tienda/crema-despigmentante/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=318044,http://local.holy.com/wp-content/uploads/2020/07/Crema-despigmentante-pili-Holy-cosmetics.jpg,"in stock","COP 30000.00",491,,,,no,New,
