ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario; Precio rebajado ; Precio normal ;10%;15%;20%;25%;30%;35%
50826;simple;;BROCHAS ORO ROSA;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
119173;simple;;BROCHAS ROSAMOR 15 PCS;1;visible;60;; $55.000 ; $49.500 ; $42.075 ; $33.660 ; $25.245 ; $17.672 ; $11.486 
128623;simple;;BROCHAS ROSE DREAMS;1;visible;;; $30.000 ; $27.000 ; $22.950 ; $18.360 ; $13.770 ; $9.639 ; $6.265 
35479;variation;;CORRECTOR PRO CONCEALER - GC993;0;visible;;;15000;;;;;;
35480;variation;;CORRECTOR PRO CONCEALER - GC994;0;visible;;;15000;;;;;;
35481;variation;;CORRECTOR PRO CONCEALER - GC995;0;visible;;;15000;;;;;;
35482;variation;;CORRECTOR PRO CONCEALER - GC996;0;visible;;;15000;;;;;;
104123;simple;;BROCHAS SECRET ROSE;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
50378;simple;;BROCHAS SEMIPROFESIONAL 18 PCS;1;visible;;; $48.000 ; $43.200 ; $36.720 ; $29.376 ; $22.032 ; $15.422 ; $10.025 
35514;variation;;POMADA DE CEJAS - GBP361;0;visible;;;25000;;;;;;
35515;variation;;POMADA DE CEJAS - GBP362;0;visible;;;25000;;;;;;
100740;simple;;BROCHAS SEMIPROFESIONAL 24 PCS;1;visible;;; $60.000 ; $54.000 ; $45.900 ; $36.720 ; $27.540 ; $19.278 ; $12.531 
98432;simple;;BROCHAS SIRENA;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
104152;simple;;BROCHAS SIRENA AZUL;1;visible;200;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
35519;variation;;POMADA DE CEJAS - GBP366;0;visible;;;25000;;;;;;
35528;simple;;LAVABROCHAS EN SECO;'-1;visible;;;15000;;;;;;
35538;variable;;COMBO PLANCHA + RIZADOR;'-1;visible;;;;;;;;;
104129;simple;;BROCHAS SWEETS;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
96108;simple;;BROCHAS UNICORNIO;1;visible;6;; $38.000 ; $34.200 ; $29.070 ; $23.256 ; $17.442 ; $12.209 ; $7.936 
122756;simple;;Bubblelicious (EXFOLIANTE PARA LABIOS);1;visible;20;; $25.000 ; $22.500 ; $19.125 ; $15.300 ; $11.475 ; $8.033 ; $5.221 
35719;simple;;BROCHAS BH ROSE ROMANCE BH COSMETICS;'-1;visible;;;50000;;;;;;
35724;simple;;BROCHAS BH CRYSTAL QUARTZ BH COSMETICS;'-1;visible;;;55000;;;;;;
50522;simple;;CEPILLO PARA CEJAS O PESTAÑAS 10PCS;1;visible;;; $5.000 ; $4.500 ; $3.825 ; $3.060 ; $2.295 ; $1.607 ; $1.044 
101266;simple;;CEPILLO SEPARADOR DE PESTAÑAS;1;visible;;; $7.000 ; $6.300 ; $5.355 ; $4.284 ; $3.213 ; $2.249 ; $1.462 
35821;simple;;COMBO AMOR #1;'-1;visible;;;80000;;;;;;
