id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant,google_product_category 
wc_post_id_340267,CORRECTOR INSTANT AGE REWIND MAYBELLINE,tonos: light 120,http://local.holy.com/wp-content/uploads/2020/09/Corrector-instant-age-rewind-maybelline-tono-light-Holy-cosmetics.jpg,http://local.holy.com/tienda/corrector-instant-age-rewind-maybelline/?attribute_tonos=LIGHT+120,"ROSTRO, Correctores",MAYBELLINE,36000COP,in stock,wc_post_id_340266,http://local.holy.com/carrito-de-compras/?add-to-cart=340266&variation_id=340267&attribute_tonos=LIGHT+120,http://local.holy.com/wp-content/uploads/2020/09/Corrector-mayeblline-instant-age-rewind-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,36000COP,new,published,,tonos:LIGHT 120/MEDIUM 130/NEUTRALIZER 150/IVORY 100:LIGHT 120,491
wc_post_id_340268,CORRECTOR INSTANT AGE REWIND MAYBELLINE,tonos: medium 130,http://local.holy.com/wp-content/uploads/2020/09/Corrector-instant-age-rewind-maybelline-tono-medium-130-Holy-cosmetics.jpg,http://local.holy.com/tienda/corrector-instant-age-rewind-maybelline/?attribute_tonos=MEDIUM+130,"ROSTRO, Correctores",MAYBELLINE,36000COP,in stock,wc_post_id_340266,http://local.holy.com/carrito-de-compras/?add-to-cart=340266&variation_id=340268&attribute_tonos=MEDIUM+130,http://local.holy.com/wp-content/uploads/2020/09/Corrector-mayeblline-instant-age-rewind-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,36000COP,new,published,,tonos:LIGHT 120/MEDIUM 130/NEUTRALIZER 150/IVORY 100:MEDIUM 130,491
wc_post_id_340269,CORRECTOR INSTANT AGE REWIND MAYBELLINE,tonos: neutralizer 150,http://local.holy.com/wp-content/uploads/2020/09/Corrector-instant-age-rewind-maybelline-tono-neutralizar-150-Holy-cosmetics.jpg,http://local.holy.com/tienda/corrector-instant-age-rewind-maybelline/?attribute_tonos=NEUTRALIZER+150,"ROSTRO, Correctores",MAYBELLINE,36000COP,in stock,wc_post_id_340266,http://local.holy.com/carrito-de-compras/?add-to-cart=340266&variation_id=340269&attribute_tonos=NEUTRALIZER+150,http://local.holy.com/wp-content/uploads/2020/09/Corrector-mayeblline-instant-age-rewind-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,36000COP,new,published,,tonos:LIGHT 120/MEDIUM 130/NEUTRALIZER 150/IVORY 100:NEUTRALIZER 150,491
wc_post_id_340270,CORRECTOR INSTANT AGE REWIND MAYBELLINE,tonos: ivory 100,http://local.holy.com/wp-content/uploads/2020/09/Corrector-instant-age-rewind-maybelline-tono-ivory100-Holy-cosmetics.jpg,http://local.holy.com/tienda/corrector-instant-age-rewind-maybelline/?attribute_tonos=IVORY+100,"ROSTRO, Correctores",MAYBELLINE,36000COP,in stock,wc_post_id_340266,http://local.holy.com/carrito-de-compras/?add-to-cart=340266&variation_id=340270&attribute_tonos=IVORY+100,http://local.holy.com/wp-content/uploads/2020/09/Corrector-mayeblline-instant-age-rewind-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,36000COP,new,published,,tonos:LIGHT 120/MEDIUM 130/NEUTRALIZER 150/IVORY 100:IVORY 100,491
wc_post_id_340216,AGUA MICELAR GARNIER EXPRESS ACLARA 400ML,"AGUA MICELAR -GARNIER EXPRESS ACLARA� 
 
El Agua Micelar de Garnier, contiene micelas que son mol�culas que act�an como un im�n, atrapan impurezas y maquillaje. En 1 solo paso; Desmaquilla, Limpia y unifica. 
Limpiar cara, ojos y labios con ayuda de un algod�n. 
 
  �Precauciones y advertencias: 
-Si observa alguna reacci�n desfavorable suspenda su uso. 
-Mant�ngase fuera del alcance de los ni�os. 
-No aplicar sobre la piel herida, lastimada o con alg�n tipo de alergia. 
-Uso externo �nicamente. 
  Contenido: 
400ml",http://local.holy.com/wp-content/uploads/2020/09/Agua-micelar-de-garnier-express-aclara-400-ml-Holy-cosmetics.jpg,http://local.holy.com/tienda/agua-micelar-garnier-express-aclara-400ml/,"CUIDADO FACIAL, Jabones y desmaquilladores",GARNIER,28000COP,in stock,wc_post_id_340216,http://local.holy.com/carrito-de-compras/?add-to-cart=340216,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,28000COP,new,published,,,491
wc_post_id_340208,CORRECTOR PERFECT SILKY,"�Precauciones y advertencias: 
-Si observa alguna reacci�n desfavorable suspenda su uso. 
-Mant�ngase fuera del alcance de los ni�os. 
-No aplicar sobre la piel herida, lastimada o con alg�n tipo de alergia. 
-Uso externo �nicamente. 
  Tono #2. 
  Contenido 2g.",http://local.holy.com/wp-content/uploads/2020/09/Corrector-perfect-silky-Beauty-glazed-Holy-cosmetics.jpg,http://local.holy.com/tienda/corrector-perfect-silky/,"ROSTRO, Correctores",BEAUTY GLAZED,12000COP,in stock,wc_post_id_340208,http://local.holy.com/carrito-de-compras/?add-to-cart=340208,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12000COP,new,published,,,491
wc_post_id_340187,PRIMER FINE CON COLAGENO,"Face primer fine con colageno 
 
 
   
Modo de uso: 
Vierta una peque�a cantidad en frente, p�mulos y barbilla, esp�rcela con la yema de tus dedos, deja que absorba para aplicar el siguiente producto. 
 
   
Beneficios: 
Reduce la apariencia de los poros, fija el maquillaje por m�s tiempo y reduce el brillo matificando el rostro. 
 
  Precauciones y advertencias: 
-Si observa alguna reacci�n desfavorable suspenda su uso. 
-Mant�ngase fuera del alcance de los ni�os. 
-No aplicar sobre la piel herida, lastimada o con alg�n tipo de alergia. 
-Uso externo �nicamente. 
Contenido: 40Ml. 
Ref. 68118-03",http://local.holy.com/wp-content/uploads/2020/09/Primer-fine-con-colageno-Holy-cosmetics.jpg,http://local.holy.com/tienda/primer-fine-con-colageno/,"ROSTRO, Primers y Fijadores",KISS BEAUTY,20000COP,in stock,wc_post_id_340187,http://local.holy.com/carrito-de-compras/?add-to-cart=340187,"http://local.holy.com/wp-content/uploads/2020/09/Primer-fine-con-colageno-By-kiss-beauty-Holy-cosmetics.jpg,http://local.holy.com/wp-content/uploads/2020/09/Primer-kiss-beauty-con-colageno-Holy-cosmetics.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20000COP,new,published,,,491
wc_post_id_340177,PESTA�INA LASH  SENSATIONAL WATERPROOF,"El exclusivo cepillo efecto abanico con 10 capas de cerdas revela capas y capas de pesta�as para un efecto de abanico abierto sensacional. La f�rmula negra perlada viste las pesta�as con un color ultraconcentrado para un look profundamente intenso. Probada por oftalm�logos. 
Adecuada para quienes usan lentes de contacto.",http://local.holy.com/wp-content/uploads/2020/09/Pestan?ina-lash-sensational-waterproof-Holy-cosmetics.jpg,http://local.holy.com/tienda/pestanina-lash-sensational-waterproof/,"OJOS, Pesta�inas",MAYBELLINE,32000COP,in stock,wc_post_id_34017http://local.holy.comco/carrito-de-compras/?add-to-cart=340177http://local.holy.comco/wp-content/uploads/2018/12/pestan?ona-rosa-web-510x510-1.jphttp://local.holy.comco/wp-content/uploads/2018/12/Pestan?ina-maybelline-las-sensational-Holy-cosmetics.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,32000COP,new,published,,,491
wc_post_id_340163,PRIMER SPRAY,"Primer (Make up primer spray) 
 
  Modo de uso:� 
Aplica directamente desde el spray antes de comenzar� tu look. 
  Advertencias: 
Evite el contacto con los ojos 
Mant�ngase fuera del alcance de los ni�os. 
Cons�rvese en un lugar fresco, seco y alejado de la luz. 
En caso de presentar alguna reacci�n al�rgica suspenda su uso y consulte al medico. 
Solo para uso externo. 
 
ITEM NO. FS220 
  Contenido:60Ml",http://local.holy.com/wp-content/uploads/2020/09/Primer-spray-by-ushas-Holy-cosmetics.jpg,http://local.holy.com/tienda/primer-spray/,"ROSTRO, Primers y Fijadores",USHAS,16000COP,in stock,wc_post_id_340163,http://local.holy.com/carrito-de-compras/?add-to-cart=340163,http://local.holy.com/wp-content/uploads/2020/09/Primer-spray-make-it-first-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,16000COP,new,published,,,491
wc_post_id_340157,FIJADOR MAKE UP SETTING SPRAY,"Fijador de maquillaje 
 
  Modo de uso:� 
Aplica directamente desde el spray antes y despu�s de finalizar tu look. 
  Advertencias: 
Evite el contacto con los ojos 
Mant�ngase fuera del alcance de los ni�os. 
Cons�rvese en un lugar fresco, seco y alejado de la luz. 
En caso de presentar alguna reacci�n al�rgica suspenda su uso y consulte al medico. 
Solo para uso externo. 
 
ITEM NO. FS221� 
  Contenido:60Ml",http://local.holy.com/wp-content/uploads/2020/09/Fijador-make-up-setting-spray-ushas-Holy-cosmetics.jpg,http://local.holy.com/tienda/fijador-make-up-setting-spray/,"ROSTRO, Primers y Fijadores",USHAS,16000COP,in stock,wc_post_id_340157,http://local.holy.com/carrito-de-compras/?add-to-cart=340157,http://local.holy.com/wp-content/uploads/2020/09/Fijador-setting-spray-by-ushas-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,16000COP,new,published,,,491
