"ID","Nombre","Publicado","Visibilidad en el catálogo","Precio rebajado","Precio normal","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3","Atributo por defecto 2"
"343488","CEPILLO SECADOR","1","visible","","60000","MARCA","SIN MARCA","1","1","EDAD","15-25, 25-35","1","1","","","","",""
"101266","CEPILLO SEPARADOR DE PESTAÑAS HOLY","1","visible","","8000","MARCA","HOLY COSMETICS","1","1","","","","","","","","",""
"342774","CONTORNO DE OJOS CON COLAGENO","1","visible","","20000","MARCA","BEAUTY HOST","1","1","","","","","","","","",""
"341555","CORRECTOR DE ALTA COBERTURA","1","visible","","","MARCA","RUBY ROSE","1","1","TONO","BEGE 2, BEGE 3, BEGE 5, NUDE 1, NUDE 2, NUDE 3","1","1","EDAD","15-25, 25-35","1","1",""
"341558","CORRECTOR DE ALTA COBERTURA - BEGE 2","1","visible","","12000","TONO","BEGE 2","","1","","","","","","","","",""
"341559","CORRECTOR DE ALTA COBERTURA - BEGE 3","1","visible","","12000","TONO","BEGE 3","","1","","","","","","","","",""
"341560","CORRECTOR DE ALTA COBERTURA - BEGE 5","1","visible","","12000","TONO","BEGE 5","","1","","","","","","","","",""
"341561","CORRECTOR DE ALTA COBERTURA - NUDE 1","1","visible","","12000","TONO","NUDE 1","","1","","","","","","","","",""
"341562","CORRECTOR DE ALTA COBERTURA - NUDE 2","1","visible","","12000","TONO","NUDE 2","","1","","","","","","","","",""
"341563","CORRECTOR DE ALTA COBERTURA - NUDE 3","1","visible","","12000","TONO","NUDE 3","","1","","","","","","","","",""
"337419","CORRECTOR FEELS","1","visible","","","MARCA","RUBY ROSE","1","1","TONO","AMENDOA 30, CARAMELO 50, CASTANHA 20, CHANTILLY 10, MEL 30, PUDIM 20","1","1","EDAD","15-25, 25-35","1","1",""
"337426","CORRECTOR FEELS - CARAMELO 50","1","visible","","13000","TONO","CARAMELO 50","","1","","","","","","","","",""
"337421","CORRECTOR FEELS - CHANTILLY 10","1","visible","","13000","TONO","CHANTILLY 10","","1","","","","","","","","",""
"337423","CORRECTOR FEELS - MEL 30","1","visible","","13000","TONO","MEL 30","","1","","","","","","","","",""
"337422","CORRECTOR FEELS - PUDIM 20","1","visible","","13000","TONO","PUDIM 20","","1","","","","","","","","",""
"316522","CORRECTOR FLAWLESS COLLECTION","1","visible","","","MARCA","RUBY ROSE","1","1","TONO","BEGE 2, BEGE 3, BEGE 5, NUDE 1, NUDE 2, NUDE 3","1","1","EDAD","15-25, 25-35","1","1",""
"361931","CORRECTOR FLAWLESS COLLECTION - BEGE 2","1","visible","","12000","TONO","BEGE 2","","1","","","","","","","","",""
"361932","CORRECTOR FLAWLESS COLLECTION - BEGE 3","1","visible","","12000","TONO","BEGE 3","","1","","","","","","","","",""
"361933","CORRECTOR FLAWLESS COLLECTION - BEGE 5","1","visible","","12000","TONO","BEGE 5","","1","","","","","","","","",""
"316535","CORRECTOR FLAWLESS COLLECTION - NUDE 1","1","visible","","12000","TONO","NUDE 1","","1","","","","","","","","",""
"316536","CORRECTOR FLAWLESS COLLECTION - NUDE 2","1","visible","","12000","TONO","NUDE 2","","1","","","","","","","","",""
"316537","CORRECTOR FLAWLESS COLLECTION - NUDE 3","1","visible","","12000","TONO","NUDE 3","","1","","","","","","","","",""
"340266","CORRECTOR INSTANT AGE REWIND MAYBELLINE","1","visible","","","MARCA","MAYBELLINE","1","1","TONO","IVORY 1OO, LIGHT 120, MEDIUM 130, NEUTRALIZER 150","1","1","EDAD","15-25, 25-35","1","1",""
"340267","CORRECTOR INSTANT AGE REWIND MAYBELLINE - IVORY 1OO","1","visible","","36000","TONO","IVORY 1OO","","1","","","","","","","","",""
"340268","CORRECTOR INSTANT AGE REWIND MAYBELLINE - LIGHT 120","1","visible","","36000","TONO","LIGHT 120","","1","","","","","","","","",""
"340269","CORRECTOR INSTANT AGE REWIND MAYBELLINE - MEDIUM 130","1","visible","","36000","TONO","MEDIUM 130","","1","","","","","","","","",""
